Profesional,EP,Contexto,Method Class,Metodo,Instrumento,Estandar,Metodo anterior,Metodo mapeado
"Usability / HCI experts, among others",EP-50,,Testing,Iterative evaluation,Discourse-based methods,,Process evaluations,Sí
"Usability / HCI experts, among others",EP-50,,Inspection,Heuristic evaluation,Discourse-based methods,,Process evaluations,Sí
"Usability / HCI experts, among others",EP-50,,Inspection,Heuristic walkthrough,Discourse-based methods,,Process evaluations,Sí
"Usability / HCI experts, among others",EP-50,,Inspection,Talk-based walkthrough,Discourse-based methods,,Process evaluations,Sí
"Usability / HCI experts, among others",EP-50,,Testing,Iterative evaluation,Observation and testing,,Process evaluations,Sí
"Usability / HCI experts, among others",EP-50,,Inspection,Heuristic evaluation,Observation and testing,,Process evaluations,Sí
"Usability / HCI experts, among others",EP-50,,Inspection,Heuristic walkthrough,Observation and testing,,Process evaluations,Sí
"Usability / HCI experts, among others",EP-50,,Inspection,Talk-based walkthrough,Observation and testing,,Process evaluations,Sí
"Usability / HCI experts, among others",EP-50,,Testing,Iterative evaluation,Standardized usability,,Process evaluations,Sí
"Usability / HCI experts, among others",EP-50,,Inspection,Heuristic evaluation,Standardized usability,,Process evaluations,Sí
"Usability / HCI experts, among others",EP-50,,Inspection,Heuristic walkthrough,Standardized usability,,Process evaluations,Sí
"Usability / HCI experts, among others",EP-50,,Inspection,Talk-based walkthrough,Standardized usability,,Process evaluations,Sí
"Usability / HCI experts, among others",EP-50,,Testing,Iterative evaluation,Discourse-based methods,,Expert inspection,Sí
"Usability / HCI experts, among others",EP-50,,Inspection,Heuristic evaluation,Discourse-based methods,,Expert inspection,Sí
"Usability / HCI experts, among others",EP-50,,Inspection,Heuristic walkthrough,Discourse-based methods,,Expert inspection,Sí
"Usability / HCI experts, among others",EP-50,,Inspection,Talk-based walkthrough,Discourse-based methods,,Expert inspection,Sí
"Usability / HCI experts, among others",EP-50,,Testing,Iterative evaluation,Observation and testing,,Expert inspection,Sí
"Usability / HCI experts, among others",EP-50,,Inspection,Heuristic evaluation,Observation and testing,,Expert inspection,Sí
"Usability / HCI experts, among others",EP-50,,Inspection,Heuristic walkthrough,Observation and testing,,Expert inspection,Sí
"Usability / HCI experts, among others",EP-50,,Inspection,Talk-based walkthrough,Observation and testing,,Expert inspection,Sí
"Usability / HCI experts, among others",EP-50,,Testing,Iterative evaluation,Standardized usability,,Expert inspection,Sí
"Usability / HCI experts, among others",EP-50,,Inspection,Heuristic evaluation,Standardized usability,,Expert inspection,Sí
"Usability / HCI experts, among others",EP-50,,Inspection,Heuristic walkthrough,Standardized usability,,Expert inspection,Sí
"Usability / HCI experts, among others",EP-50,,Inspection,Talk-based walkthrough,Standardized usability,,Expert inspection,Sí
Physicians,EP-51,,Testing,Case-based testing,Discourse-based methods,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - ISO/IEC 25010 (modelo de calidad de software)",Process evaluations,Sí
Physicians,EP-51,,Testing,Iterative evaluation,Discourse-based methods,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - ISO/IEC 25010 (modelo de calidad de software)",Process evaluations,Sí
Physicians,EP-51,,Inspection,Talk-based walkthrough,Discourse-based methods,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - ISO/IEC 25010 (modelo de calidad de software)",Process evaluations,Sí
Physicians,EP-51,,Testing,Case-based testing,Discourse-based methods,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - ISO/IEC 25010 (modelo de calidad de software)",Expert inspection,Sí
Physicians,EP-51,,Testing,Iterative evaluation,Discourse-based methods,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - ISO/IEC 25010 (modelo de calidad de software)",Expert inspection,Sí
Physicians,EP-51,,Inspection,Talk-based walkthrough,Discourse-based methods,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - ISO/IEC 25010 (modelo de calidad de software)",Expert inspection,Sí
Physicians,EP-51,,Testing,Case-based testing,Discourse-based methods,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - ISO/IEC 25010 (modelo de calidad de software)",User-based usability measurement,Sí
Physicians,EP-51,,Testing,Iterative evaluation,Discourse-based methods,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - ISO/IEC 25010 (modelo de calidad de software)",User-based usability measurement,Sí
Physicians,EP-51,,Inspection,Talk-based walkthrough,Discourse-based methods,"ISO / IEC (usabilidad, calidad, dispositivos médicos) - ISO/IEC 25010 (modelo de calidad de software)",User-based usability measurement,Sí
Dietitians,EP-53,Hospitals,Testing,Post-implementation evaluation,Discourse-based methods,,Qualitative analyses,Sí
Dietitians,EP-53,Hospitals,Inquiry,Semi-structured interviews,Discourse-based methods,,Qualitative analyses,Sí
Dietitians,EP-53,Hospitals,Analytical Modeling,Framework-based evaluation,Discourse-based methods,,Qualitative analyses,Sí
Dietitians,EP-53,Hospitals,Testing,Post-implementation evaluation,Discourse-based methods,,Controlled experiments,Sí
Dietitians,EP-53,Hospitals,Inquiry,Semi-structured interviews,Discourse-based methods,,Controlled experiments,Sí
Dietitians,EP-53,Hospitals,Analytical Modeling,Framework-based evaluation,Discourse-based methods,,Controlled experiments,Sí
Physicians,EP-54,,Testing,Think-aloud,Discourse-based methods,,Qualitative analyses,Sí
Physicians,EP-54,,Testing,Case-based testing,Discourse-based methods,,Qualitative analyses,Sí
Physicians,EP-54,,Testing,Post-implementation evaluation,Discourse-based methods,,Qualitative analyses,Sí
Physicians,EP-54,,Testing,Reader performance test,Discourse-based methods,,Qualitative analyses,Sí
Physicians,EP-54,,Inquiry,Semi-structured interviews,Discourse-based methods,,Qualitative analyses,Sí
Physicians,EP-54,,Inquiry,Thematic analysis of experiences,Discourse-based methods,,Qualitative analyses,Sí
Physicians,EP-54,,Inquiry,Usability problems interview analysis,Discourse-based methods,,Qualitative analyses,Sí
Physicians,EP-54,,Simulation,Simulation-based testing,Discourse-based methods,,Qualitative analyses,Sí
Physicians,EP-54,,Simulation,Near-live,Discourse-based methods,,Qualitative analyses,Sí
Physicians,EP-54,,Testing,Think-aloud,Discourse-based methods,,Controlled experiments,Sí
Physicians,EP-54,,Testing,Case-based testing,Discourse-based methods,,Controlled experiments,Sí
Physicians,EP-54,,Testing,Post-implementation evaluation,Discourse-based methods,,Controlled experiments,Sí
Physicians,EP-54,,Testing,Reader performance test,Discourse-based methods,,Controlled experiments,Sí
Physicians,EP-54,,Inquiry,Semi-structured interviews,Discourse-based methods,,Controlled experiments,Sí
Physicians,EP-54,,Inquiry,Thematic analysis of experiences,Discourse-based methods,,Controlled experiments,Sí
Physicians,EP-54,,Inquiry,Usability problems interview analysis,Discourse-based methods,,Controlled experiments,Sí
Physicians,EP-54,,Simulation,Simulation-based testing,Discourse-based methods,,Controlled experiments,Sí
Physicians,EP-54,,Simulation,Near-live,Discourse-based methods,,Controlled experiments,Sí
Physicians,EP-54,,Testing,Think-aloud,Discourse-based methods,,User-based usability measurement,Sí
Physicians,EP-54,,Testing,Case-based testing,Discourse-based methods,,User-based usability measurement,Sí
Physicians,EP-54,,Testing,Post-implementation evaluation,Discourse-based methods,,User-based usability measurement,Sí
Physicians,EP-54,,Testing,Reader performance test,Discourse-based methods,,User-based usability measurement,Sí
Physicians,EP-54,,Inquiry,Semi-structured interviews,Discourse-based methods,,User-based usability measurement,Sí
Physicians,EP-54,,Inquiry,Thematic analysis of experiences,Discourse-based methods,,User-based usability measurement,Sí
Physicians,EP-54,,Inquiry,Usability problems interview analysis,Discourse-based methods,,User-based usability measurement,Sí
Physicians,EP-54,,Simulation,Simulation-based testing,Discourse-based methods,,User-based usability measurement,Sí
Physicians,EP-54,,Simulation,Near-live,Discourse-based methods,,User-based usability measurement,Sí
Physicians,EP-55,Medical universities,Inquiry,Questionnaires,Discourse-based methods,,Usability perception questionnaires/interviews,Sí
Physicians,EP-55,Medical universities,Inquiry,Questionnaires,Standardized usability,,Usability perception questionnaires/interviews,Sí
Physicians,EP-57,,Testing,Post-implementation evaluation,Surveys and questionnaires,,Qualitative analyses,Sí
Physicians,EP-57,,Inquiry,Questionnaires,Surveys and questionnaires,,Qualitative analyses,Sí
Physicians,EP-57,,Inquiry,Semi-structured interviews,Surveys and questionnaires,,Qualitative analyses,Sí
Physicians,EP-57,,Analytical Modeling,Framework-based evaluation,Surveys and questionnaires,,Qualitative analyses,Sí
Physicians,EP-57,,Testing,Post-implementation evaluation,Discourse-based methods,,Qualitative analyses,Sí
Physicians,EP-57,,Inquiry,Questionnaires,Discourse-based methods,,Qualitative analyses,Sí
Physicians,EP-57,,Inquiry,Semi-structured interviews,Discourse-based methods,,Qualitative analyses,Sí
Physicians,EP-57,,Analytical Modeling,Framework-based evaluation,Discourse-based methods,,Qualitative analyses,Sí
Physicians,EP-57,,Testing,Post-implementation evaluation,Surveys and questionnaires,,Usability perception questionnaires/interviews,Sí
Physicians,EP-57,,Inquiry,Questionnaires,Surveys and questionnaires,,Usability perception questionnaires/interviews,Sí
Physicians,EP-57,,Inquiry,Semi-structured interviews,Surveys and questionnaires,,Usability perception questionnaires/interviews,Sí
Physicians,EP-57,,Analytical Modeling,Framework-based evaluation,Surveys and questionnaires,,Usability perception questionnaires/interviews,Sí
Physicians,EP-57,,Testing,Post-implementation evaluation,Discourse-based methods,,Usability perception questionnaires/interviews,Sí
Physicians,EP-57,,Inquiry,Questionnaires,Discourse-based methods,,Usability perception questionnaires/interviews,Sí
Physicians,EP-57,,Inquiry,Semi-structured interviews,Discourse-based methods,,Usability perception questionnaires/interviews,Sí
Physicians,EP-57,,Analytical Modeling,Framework-based evaluation,Discourse-based methods,,Usability perception questionnaires/interviews,Sí
Physicians,EP-57,,Testing,Post-implementation evaluation,Surveys and questionnaires,,Controlled experiments,Sí
Physicians,EP-57,,Inquiry,Questionnaires,Surveys and questionnaires,,Controlled experiments,Sí
Physicians,EP-57,,Inquiry,Semi-structured interviews,Surveys and questionnaires,,Controlled experiments,Sí
Physicians,EP-57,,Analytical Modeling,Framework-based evaluation,Surveys and questionnaires,,Controlled experiments,Sí
Physicians,EP-57,,Testing,Post-implementation evaluation,Discourse-based methods,,Controlled experiments,Sí
Physicians,EP-57,,Inquiry,Questionnaires,Discourse-based methods,,Controlled experiments,Sí
Physicians,EP-57,,Inquiry,Semi-structured interviews,Discourse-based methods,,Controlled experiments,Sí
Physicians,EP-57,,Analytical Modeling,Framework-based evaluation,Discourse-based methods,,Controlled experiments,Sí
Physicians,EP-58,Hospitals,Testing,Case-based testing,Surveys and questionnaires,,Controlled experiments,Sí
Physicians,EP-58,Hospitals,Testing,Explanations comparison,Surveys and questionnaires,,Controlled experiments,Sí
Physicians,EP-58,Hospitals,Testing,Observer/Reader performance tests,Surveys and questionnaires,,Controlled experiments,Sí
Physicians,EP-58,Hospitals,Testing,Cross-over/within-subject designs on interaction or explanations,Surveys and questionnaires,,Controlled experiments,Sí
Physicians,EP-58,Hospitals,Inquiry,Escalas de satisfacción (Likert),Surveys and questionnaires,,Controlled experiments,Sí
Physicians,EP-58,Hospitals,Testing,Case-based testing,Surveys and questionnaires,,User-based usability measurement,Sí
Physicians,EP-58,Hospitals,Testing,Explanations comparison,Surveys and questionnaires,,User-based usability measurement,Sí
Physicians,EP-58,Hospitals,Testing,Observer/Reader performance tests,Surveys and questionnaires,,User-based usability measurement,Sí
Physicians,EP-58,Hospitals,Testing,Cross-over/within-subject designs on interaction or explanations,Surveys and questionnaires,,User-based usability measurement,Sí
Physicians,EP-58,Hospitals,Inquiry,Escalas de satisfacción (Likert),Surveys and questionnaires,,User-based usability measurement,Sí
Physicians,EP-58,Hospitals,Testing,Case-based testing,Surveys and questionnaires,,Perception of explanations,Sí
Physicians,EP-58,Hospitals,Testing,Explanations comparison,Surveys and questionnaires,,Perception of explanations,Sí
Physicians,EP-58,Hospitals,Testing,Observer/Reader performance tests,Surveys and questionnaires,,Perception of explanations,Sí
Physicians,EP-58,Hospitals,Testing,Cross-over/within-subject designs on interaction or explanations,Surveys and questionnaires,,Perception of explanations,Sí
Physicians,EP-58,Hospitals,Inquiry,Escalas de satisfacción (Likert),Surveys and questionnaires,,Perception of explanations,Sí
Students,EP-61,,Inquiry,Questionnaires,Surveys and questionnaires,,Usability perception questionnaires/interviews,Sí
Students,EP-61,,Analytical Modeling,Framework-based evaluation,Surveys and questionnaires,,Usability perception questionnaires/interviews,Sí
Students,EP-61,,Inquiry,Questionnaires,Surveys and questionnaires,,Controlled experiments,Sí
Students,EP-61,,Analytical Modeling,Framework-based evaluation,Surveys and questionnaires,,Controlled experiments,Sí
Nurses,EP-62,,Testing,Iterative evaluation,Surveys and questionnaires,,Usability perception questionnaires/interviews,Sí
Nurses,EP-62,,Testing,Formative evaluation,Surveys and questionnaires,,Usability perception questionnaires/interviews,Sí
Nurses,EP-62,,Inquiry,Questionnaires,Surveys and questionnaires,,Usability perception questionnaires/interviews,Sí
Nurses,EP-62,,Inquiry,UX scales,Surveys and questionnaires,,Usability perception questionnaires/interviews,Sí
Nurses,EP-62,,Testing,Iterative evaluation,Discourse-based methods,,Usability perception questionnaires/interviews,Sí
Nurses,EP-62,,Testing,Formative evaluation,Discourse-based methods,,Usability perception questionnaires/interviews,Sí
Nurses,EP-62,,Inquiry,Questionnaires,Discourse-based methods,,Usability perception questionnaires/interviews,Sí
Nurses,EP-62,,Inquiry,UX scales,Discourse-based methods,,Usability perception questionnaires/interviews,Sí
Nurses,EP-62,,Testing,Iterative evaluation,Observation and testing,,Usability perception questionnaires/interviews,Sí
Nurses,EP-62,,Testing,Formative evaluation,Observation and testing,,Usability perception questionnaires/interviews,Sí
Nurses,EP-62,,Inquiry,Questionnaires,Observation and testing,,Usability perception questionnaires/interviews,Sí
Nurses,EP-62,,Inquiry,UX scales,Observation and testing,,Usability perception questionnaires/interviews,Sí
Nurses,EP-62,,Testing,Iterative evaluation,Standardized usability,,Usability perception questionnaires/interviews,Sí
Nurses,EP-62,,Testing,Formative evaluation,Standardized usability,,Usability perception questionnaires/interviews,Sí
Nurses,EP-62,,Inquiry,Questionnaires,Standardized usability,,Usability perception questionnaires/interviews,Sí
Nurses,EP-62,,Inquiry,UX scales,Standardized usability,,Usability perception questionnaires/interviews,Sí
Nurses,EP-62,,Testing,Iterative evaluation,Surveys and questionnaires,,Standardized usability scales,Sí
Nurses,EP-62,,Testing,Formative evaluation,Surveys and questionnaires,,Standardized usability scales,Sí
Nurses,EP-62,,Inquiry,Questionnaires,Surveys and questionnaires,,Standardized usability scales,Sí
Nurses,EP-62,,Inquiry,UX scales,Surveys and questionnaires,,Standardized usability scales,Sí
Nurses,EP-62,,Testing,Iterative evaluation,Discourse-based methods,,Standardized usability scales,Sí
Nurses,EP-62,,Testing,Formative evaluation,Discourse-based methods,,Standardized usability scales,Sí
Nurses,EP-62,,Inquiry,Questionnaires,Discourse-based methods,,Standardized usability scales,Sí
Nurses,EP-62,,Inquiry,UX scales,Discourse-based methods,,Standardized usability scales,Sí
Nurses,EP-62,,Testing,Iterative evaluation,Observation and testing,,Standardized usability scales,Sí
Nurses,EP-62,,Testing,Formative evaluation,Observation and testing,,Standardized usability scales,Sí
Nurses,EP-62,,Inquiry,Questionnaires,Observation and testing,,Standardized usability scales,Sí
Nurses,EP-62,,Inquiry,UX scales,Observation and testing,,Standardized usability scales,Sí
Nurses,EP-62,,Testing,Iterative evaluation,Standardized usability,,Standardized usability scales,Sí
Nurses,EP-62,,Testing,Formative evaluation,Standardized usability,,Standardized usability scales,Sí
Nurses,EP-62,,Inquiry,Questionnaires,Standardized usability,,Standardized usability scales,Sí
Nurses,EP-62,,Inquiry,UX scales,Standardized usability,,Standardized usability scales,Sí
Nurses,EP-62,,Testing,Iterative evaluation,Surveys and questionnaires,,Process evaluations,Sí
Nurses,EP-62,,Testing,Formative evaluation,Surveys and questionnaires,,Process evaluations,Sí
Nurses,EP-62,,Inquiry,Questionnaires,Surveys and questionnaires,,Process evaluations,Sí
Nurses,EP-62,,Inquiry,UX scales,Surveys and questionnaires,,Process evaluations,Sí
Nurses,EP-62,,Testing,Iterative evaluation,Discourse-based methods,,Process evaluations,Sí
Nurses,EP-62,,Testing,Formative evaluation,Discourse-based methods,,Process evaluations,Sí
Nurses,EP-62,,Inquiry,Questionnaires,Discourse-based methods,,Process evaluations,Sí
Nurses,EP-62,,Inquiry,UX scales,Discourse-based methods,,Process evaluations,Sí
Nurses,EP-62,,Testing,Iterative evaluation,Observation and testing,,Process evaluations,Sí
Nurses,EP-62,,Testing,Formative evaluation,Observation and testing,,Process evaluations,Sí
Nurses,EP-62,,Inquiry,Questionnaires,Observation and testing,,Process evaluations,Sí
Nurses,EP-62,,Inquiry,UX scales,Observation and testing,,Process evaluations,Sí
Nurses,EP-62,,Testing,Iterative evaluation,Standardized usability,,Process evaluations,Sí
Nurses,EP-62,,Testing,Formative evaluation,Standardized usability,,Process evaluations,Sí
Nurses,EP-62,,Inquiry,Questionnaires,Standardized usability,,Process evaluations,Sí
Nurses,EP-62,,Inquiry,UX scales,Standardized usability,,Process evaluations,Sí
Nurses,EP-63,,Inspection,Heuristic evaluation,Standardized usability,,Expert inspection,Sí
"Usability / HCI experts, among others",EP-63,,Inspection,Heuristic evaluation,Standardized usability,,Expert inspection,Sí
Pharmacists,EP-63,,Inspection,Heuristic evaluation,Standardized usability,,Expert inspection,Sí
Physicians,EP-67,,PENDIENTE,PENDIENTE: EP no aparece en nueva tabla de métodos,Explainability and ML validation,,,No
Nurses,EP-71,Intensive care unit,Testing,Post-implementation evaluation,Surveys and questionnaires,,Qualitative analyses,Sí
Nurses,EP-71,Intensive care unit,Testing,Observation / Shadowing,Surveys and questionnaires,,Qualitative analyses,Sí
Nurses,EP-71,Intensive care unit,Inquiry,Semi-structured interviews,Surveys and questionnaires,,Qualitative analyses,Sí
Nurses,EP-71,Intensive care unit,Testing,Post-implementation evaluation,Discourse-based methods,,Qualitative analyses,Sí
Nurses,EP-71,Intensive care unit,Testing,Observation / Shadowing,Discourse-based methods,,Qualitative analyses,Sí
Nurses,EP-71,Intensive care unit,Inquiry,Semi-structured interviews,Discourse-based methods,,Qualitative analyses,Sí
Nurses,EP-71,Intensive care unit,Testing,Post-implementation evaluation,Records and documents,,Qualitative analyses,Sí
Nurses,EP-71,Intensive care unit,Testing,Observation / Shadowing,Records and documents,,Qualitative analyses,Sí
Nurses,EP-71,Intensive care unit,Inquiry,Semi-structured interviews,Records and documents,,Qualitative analyses,Sí
Physicians,EP-71,Intensive care unit,Testing,Post-implementation evaluation,Surveys and questionnaires,,Qualitative analyses,Sí
Physicians,EP-71,Intensive care unit,Testing,Observation / Shadowing,Surveys and questionnaires,,Qualitative analyses,Sí
Physicians,EP-71,Intensive care unit,Inquiry,Semi-structured interviews,Surveys and questionnaires,,Qualitative analyses,Sí
Physicians,EP-71,Intensive care unit,Testing,Post-implementation evaluation,Discourse-based methods,,Qualitative analyses,Sí
Physicians,EP-71,Intensive care unit,Testing,Observation / Shadowing,Discourse-based methods,,Qualitative analyses,Sí
Physicians,EP-71,Intensive care unit,Inquiry,Semi-structured interviews,Discourse-based methods,,Qualitative analyses,Sí
Physicians,EP-71,Intensive care unit,Testing,Post-implementation evaluation,Records and documents,,Qualitative analyses,Sí
Physicians,EP-71,Intensive care unit,Testing,Observation / Shadowing,Records and documents,,Qualitative analyses,Sí
Physicians,EP-71,Intensive care unit,Inquiry,Semi-structured interviews,Records and documents,,Qualitative analyses,Sí
Physicians,EP-72,,Testing,Randomized Controlled Trial,Clinical,Guías y estándares de reporte (EQUATOR Network) - CARE (Case Report Guidelines),Controlled experiments,Sí
Physicians,EP-72,,Testing,Randomized Controlled Trial,Clinical,Guías y estándares de reporte (EQUATOR Network) - DECIDE-AI,Controlled experiments,Sí
Physicians,EP-73,,Testing,Randomized Controlled Trial,Clinical,Guías y estándares de reporte (EQUATOR Network) - CARE (Case Report Guidelines),Controlled experiments,Sí
Physicians,EP-73,,Testing,Randomized Controlled Trial,Clinical,Guías y estándares de reporte (EQUATOR Network) - CONSORT-AI,Controlled experiments,Sí
Physicians,EP-73,,Testing,Randomized Controlled Trial,Clinical,Guías y estándares de reporte (EQUATOR Network) - DECIDE-AI,Controlled experiments,Sí
Physicians,EP-73,,Testing,Randomized Controlled Trial,Clinical,Guías y estándares de reporte (EQUATOR Network) - SPIRIT-AI,Controlled experiments,Sí
Physicians,EP-78,,Testing,Randomized Controlled Trial,Surveys and questionnaires,,Controlled experiments,Sí
Physicians,EP-78,,Testing,Explanations comparison,Surveys and questionnaires,,Controlled experiments,Sí
Practice professionals,EP-78,,Testing,Randomized Controlled Trial,Surveys and questionnaires,,Controlled experiments,Sí
Practice professionals,EP-78,,Testing,Explanations comparison,Surveys and questionnaires,,Controlled experiments,Sí
Physicians,EP-79,,PENDIENTE,PENDIENTE: EP no aparece en nueva tabla de métodos,Observation and testing,,Controlled experiments,No
Physicians,EP-79,,PENDIENTE,PENDIENTE: EP no aparece en nueva tabla de métodos,Observation and testing,,User-based usability measurement,No
Nurses,EP-82,,PENDIENTE,PENDIENTE: EP no aparece en nueva tabla de métodos,Standardized usability,,Standardized usability scales,No
"Usability / HCI experts, among others",EP-82,,PENDIENTE,PENDIENTE: EP no aparece en nueva tabla de métodos,Standardized usability,,Standardized usability scales,No
Physicians,EP-83,,PENDIENTE,PENDIENTE: EP no aparece en nueva tabla de métodos,Observation and testing,,Usability perception questionnaires/interviews,No
Physicians,EP-83,,PENDIENTE,PENDIENTE: EP no aparece en nueva tabla de métodos,Observation and testing,,Perception of explanations,No
